Unnamed: 0,Gene1,Gene2
1330,gene1054,gene2
1331,gene1055,gene2
1332,gene1056,gene686
1333,gene1057,gene1006
1334,gene1058,gene408
1335,gene1058,gene686
1336,gene1059,gene1006
1337,gene1060,gene686
1338,gene1061,gene232
1339,gene1062,gene232
1340,gene1063,gene232
1341,gene1064,gene1006
1342,gene1065,gene686
1343,gene1066,gene1006
1344,gene1067,gene686
1345,gene1068,gene2
1346,gene1069,gene2
1347,gene1071,gene1006
1348,gene1072,gene686
1349,gene1072,gene805
1350,gene1073,gene686
1351,gene1073,gene805
1352,gene1074,gene686
1353,gene1074,gene805
1354,gene1075,gene686
1355,gene1075,gene805
1356,gene1076,gene686
1357,gene1076,gene805
1358,gene1077,gene686
1359,gene1077,gene805
1360,gene1078,gene1006
1361,gene1079,gene1006
1362,gene1080,gene2
1363,gene1081,gene2
1364,gene1082,gene805
1365,gene1082,gene1006
1366,gene1083,gene1006
1367,gene1084,gene686
1368,gene1085,gene2
1369,gene1086,gene232
1370,gene1087,gene686
1371,gene1087,gene805
1372,gene1088,gene2
1373,gene1089,gene1006
1374,gene1090,gene686
1375,gene1091,gene686
1376,gene1091,gene1006
1377,gene1092,gene2
1378,gene1093,gene2
1379,gene1094,gene2
1380,gene1095,gene805
1381,gene1096,gene408
1382,gene1097,gene2
1383,gene1098,gene2
1384,gene1099,gene2
1385,gene1100,gene2
1386,gene1101,gene2
1387,gene1102,gene686
1388,gene1102,gene1006
1389,gene1103,gene805
1390,gene1104,gene805
1391,gene1105,gene805
1392,gene1106,gene805
1393,gene1107,gene805
1394,gene1108,gene805
1395,gene1109,gene1006
1396,gene1110,gene805
1397,gene1110,gene1006
1398,gene1111,gene805
1399,gene1111,gene1006
1400,gene1112,gene805
1401,gene1112,gene1006
1402,gene1113,gene805
1403,gene1113,gene1006
1404,gene1114,gene805
1405,gene1115,gene1006
1406,gene1116,gene232
1407,gene1117,gene1006
1408,gene1118,gene232
1409,gene1119,gene232
1410,gene1120,gene1006
1411,gene1121,gene1006
1412,gene1122,gene2
1413,gene1123,gene686
1414,gene1124,gene686
1415,gene1125,gene686
1416,gene1126,gene686
1417,gene1127,gene686
1418,gene1128,gene805
1419,gene1128,gene1006
1420,gene1129,gene232
1421,gene1130,gene1006
1422,gene1131,gene686
1423,gene1132,gene2
1424,gene1133,gene686
1425,gene1134,gene686
1426,gene1134,gene805
1427,gene1134,gene1006
1428,gene1135,gene1006
1429,gene1136,gene1006
1430,gene1137,gene1006
1431,gene1138,gene1006
1432,gene1139,gene2
